Time Range,Arrival Profile Auto,Departure Profile Auto,Arrival Profile Rideshare,Departure Profile Rideshare
00:00 - 06:00,96,24,0,0
06:00 - 07:00,75,27,0,0
07:00 - 08:00,86,22,0,0
08:00 - 09:00,248,29,2,0
09:00 - 10:00,592,90,11,0
10:00 - 11:00,1151,179,31,0
11:00 - 12:00,2191,214,101,1
12:00 - 13:00,4030,362,202,13
13:00 - 14:00,6894,679,370,31
14:00 - 15:00,7292,1006,378,56
15:00 - 16:00,3595,1275,158,58
16:00 - 17:00,475,301,34,16
17:00 - 18:00,240,269,74,26
18:00 - 19:00,175,1699,264,239
19:00 - 20:00,246,4897,212,444
20:00 - 21:00,110,1658,77,263
 21:00 - 22:00,29,180,2,11
22:00 - 23:00,21,56,0,0
 23:00 - 00:00,9,11,0,0
