Time Range,Arrival Profile,Departure Profile
00:00 - 06:00,3923,3342
06:00 - 07:00,4429,2091
07:00 - 08:00,8716,4011
08:00 - 09:00,9807,5279
09:00 - 10:00,7277,5192
10:00 - 11:00,5316,4383
11:00 - 12:00,7298,5051
12:00 - 13:00,11529,6548
13:00 - 14:00,10466,7299
14:00 - 15:00,5848,6040
15:00 - 16:00,5982,7580
16:00 - 17:00,10076,15554
17:00 - 18:00,8379,14198
18:00 - 19:00,7015,7880
19:00 - 20:00,5833,5566
20:00 - 21:00,3563,4149
21:00 - 22:00,3612,4577
22:00 - 23:00,2208,3713
23:00 - 00:00,1257,1962
